,Type,Year,Lat,Long
455,Robbery,2017,42.38054086,-71.03924941
456,Robbery,2017,42.31089986,-71.08007661
457,Robbery,2017,42.27991636,-71.09674377
458,Robbery,2017,42.32198656,-71.06280666
459,Robbery,2017,42.28526024,-71.06444063
460,Robbery,2017,42.29848866,-71.06313294
461,Robbery,2017,42.34114797,-71.08246189
462,Robbery,2017,42.2869679,-71.04174777
463,Robbery,2017,42.3523119,-71.0637051
464,Robbery,2017,42.28627123,-71.13644214
465,Robbery,2017,42.37837942,-71.05537622
466,Robbery,2017,42.27934055,-71.09130505
467,Robbery,2017,42.31776637,-71.08207709
468,Robbery,2017,42.33014012,-71.05695787
469,Robbery,2017,42.34618775,-71.07852785
470,Homicide,2017,42.34243945,-71.0844553
471,Robbery,2017,42.30896999,-71.08284839
472,Robbery,2017,42.31011153,-71.0829899
473,Robbery,2017,42.30603974,-71.0862124
474,Robbery,2017,42.30512949,-71.11461873
475,Robbery,2017,42.27022181,-71.09892736
476,Robbery,2017,42.279267,-71.11900247
478,Robbery,2017,42.33552642,-71.04156906
479,Robbery,2017,42.28864771,-71.13470549
480,Robbery,2017,42.24316302,-71.14175229
481,Robbery,2017,42.27665388,-71.09121606
482,Robbery,2017,42.32469443,-71.10087902
483,Robbery,2017,42.33210843,-71.07014395
484,Robbery,2017,42.36728587,-71.04041697
485,Robbery,2017,42.35594239,-71.06258333
486,Robbery,2017,42.35125902,-71.06009371
487,Robbery,2017,42.3503787,-71.07626098
488,Robbery,2017,42.2554572,-71.12078435
489,Robbery,2017,42.3030381,-71.06102719
490,Robbery,2017,42.33602271,-71.0799671
491,Robbery,2017,42.37515337,-71.06409893
492,Robbery,2017,42.37018984,-71.03473306
493,Robbery,2017,42.3559928,-71.06923988
494,Homicide,2017,42.32469443,-71.10087902
495,Robbery,2017,42.27229134,-71.07222782
496,Robbery,2017,42.29191251,-71.07049431
497,Robbery,2017,42.3503787,-71.07626098
499,Robbery,2017,42.31526714,-71.0630687
500,Robbery,2017,42.35115526,-71.06130589
501,Robbery,2017,42.35125244,-71.070367
502,Robbery,2017,42.34321778,-71.09453163
503,Robbery,2017,42.2752767,-71.09554245
504,Homicide,2017,42.32058475,-71.04470305
505,Robbery,2017,42.29465454,-71.07983266
506,Robbery,2017,42.36014005,-71.13027929
508,Robbery,2017,42.26788791,-71.10067012
509,Robbery,2017,42.3087561,-71.06141045
510,Robbery,2017,42.35923564,-71.12854039
511,Robbery,2017,42.26701085,-71.12096171
512,Robbery,2017,42.28514626,-71.0899961
513,Robbery,2017,42.2997787,-71.06252889
514,Robbery,2017,42.32332362,-71.06044008
515,Robbery,2017,42.33078637,-71.0544113
516,Robbery,2017,42.31558613,-71.09399361
517,Robbery,2017,42.31709355,-71.07802977
518,Robbery,2017,42.34932471,-71.08014801
519,Robbery,2017,42.2780461,-71.12257569
520,Robbery,2017,42.33331285,-71.07322932
521,Robbery,2017,42.31295163,-71.07989658
522,Robbery,2017,42.27717807,-71.13522599
523,Robbery,2017,42.27818669,-71.09047287
524,Robbery,2017,42.28688203,-71.1276629
525,Robbery,2017,42.34813158,-71.08027002
526,Robbery,2017,42.33123776,-71.09140736
527,Robbery,2017,42.28390244,-71.13086263
528,Robbery,2017,42.31633855,-71.06879992
529,Robbery,2017,42.29350272,-71.07344862
531,Robbery,2017,42.3523414,-71.06296987
532,Robbery,2017,42.34976402,-71.06045076
533,Robbery,2017,42.3189792,-71.07964653
534,Robbery,2017,42.3048998,-71.07992223
535,Robbery,2017,42.3304694,-71.05337434
536,Robbery,2017,42.31252546,-71.07389321
537,Robbery,2017,42.30603974,-71.0862124
538,Robbery,2017,42.26788791,-71.10067012
541,Robbery,2017,42.36309564,-71.05815372
542,Robbery,2017,42.34974111,-71.05801618
544,Robbery,2017,42.30328018,-71.07122308
545,Robbery,2017,42.34131728,-71.06964463
546,Robbery,2017,42.28816791,-71.08760718
548,Robbery,2017,42.31896847,-71.10356144
549,Robbery,2017,42.30248605,-71.06321339
550,Robbery,2017,42.34334672,-71.06643142
551,Robbery,2017,42.27621405,-71.16651219
